"","PhageType","Temperature","Surface","Time","MeanSurfaceVirusTiter_surfaces","ReproductionTimeMinutes","VirusTiter"
"1","PhiX174",4,"Control",0,173666666.666667,0,5e+05
"2","PhiX174",4,"Control",0,173666666.666667,30,1.4e+07
"3","PhiX174",4,"Control",0,173666666.666667,40,23500000
"4","PhiX174",4,"Control",0,173666666.666667,50,3e+07
"5","PhiX174",4,"Control",0,173666666.666667,60,37500000
"6","PhiX174",4,"Control",2,1.65e+08,0,1500000
"7","PhiX174",4,"Control",2,1.65e+08,30,9e+06
"8","PhiX174",4,"Control",2,1.65e+08,40,13500000
"9","PhiX174",4,"Control",2,1.65e+08,50,2.2e+07
"10","PhiX174",4,"Control",2,1.65e+08,60,2.6e+07
"11","PhiX174",4,"Control",4,159333333.333333,0,5e+05
"12","PhiX174",4,"Control",4,159333333.333333,30,1500000
"13","PhiX174",4,"Control",4,159333333.333333,40,1.7e+07
"14","PhiX174",4,"Control",4,159333333.333333,50,26500000
"15","PhiX174",4,"Control",4,159333333.333333,60,4e+07
"16","PhiX174",4,"Control",6,1.64e+08,0,1e+06
"17","PhiX174",4,"Control",6,1.64e+08,30,6500000
"18","PhiX174",4,"Control",6,1.64e+08,40,9e+06
"19","PhiX174",4,"Control",6,1.64e+08,50,14500000
"20","PhiX174",4,"Control",6,1.64e+08,60,21500000
"21","PhiX174",4,"Control",8,161666666.666667,0,1e+06
"22","PhiX174",4,"Control",8,161666666.666667,30,3500000
"23","PhiX174",4,"Control",8,161666666.666667,40,1.4e+07
"24","PhiX174",4,"Control",8,161666666.666667,50,23500000
"25","PhiX174",4,"Control",8,161666666.666667,60,39500000
"26","PhiX174",4,"Copper",0,1.48e+08,0,5e+05
"27","PhiX174",4,"Copper",0,1.48e+08,30,5500000
"28","PhiX174",4,"Copper",0,1.48e+08,40,1.7e+07
"29","PhiX174",4,"Copper",0,1.48e+08,50,3.1e+07
"30","PhiX174",4,"Copper",0,1.48e+08,60,4.1e+07
"31","PhiX174",4,"Copper",2,124333333.333333,0,1e+06
"32","PhiX174",4,"Copper",2,124333333.333333,30,1e+06
